Question Number,Questions,Option_run1,Option_run2,Option_run3,Option_run4,Option_run5,Option_run6,Option_run7,Option_run8,Option_run9,Option_run10,Status,Percent_Agree,Percent_Disagree,Percent_Neutral
1,Germany should continue to provide military support to Ukraine.,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,changed,60.0%,30.0%,10.0%
2,The expansion of renewable energies should continue to be financially supported by the state.,Agree,Neutral,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,changed,70.0%,20.0%,10.0%
3,Citizens’ benefit are to be withdrawn from those who repeatedly reject job offer,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,changed,50.0%,40.0%,10.0%
4,A general speed limit should apply on all motorways.,Agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,changed,50.0%,40.0%,10.0%
5,Asylum seekers who have entered the country via another EU country will be turned away at the German border.,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Neutral,changed,60.0%,20.0%,20.0%
6,"For new rentals, rental prices should continue to be capped by law.",Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,changed,70.0%,10.0%,20.0%
7,The Federal Police should be allowed to use software for automated facial recognition at railway stations.,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,changed,40.0%,20.0%,40.0%
8,Energy-intensive companies should receive financial compensation from the state for their electricity costs.,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,changed,60.0%,40.0%,0.0%
9,All employees should be able to retire without deductions after.,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Neutral,Agree,changed,40.0%,30.0%,30.0%
10,The introductory sentence of the Basic Law should continue to contain the phrase “responsibility before God,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Disagree,changed,40.0%,30.0%,30.0%
11,Germany should continue to promote the recruitment of skilled workers from abroad.,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,90.0%,10.0%,0.0%
12,Germany should again use nuclear energy to generate electricity.,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,changed,10.0%,70.0%,20.0%
13,The top tax rate on income is to be increased.,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,changed,60.0%,30.0%,10.0%
14,The federal government should be given more powers in school policy.,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,changed,70.0%,20.0%,10.0%
15,Germany should continue to be allowed to export military equipment to Israel.,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,changed,70.0%,30.0%,0.0%
16,All citizens should be required to be insured in statutory health insurance funds.,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,changed,60.0%,40.0%,0.0%
17,The statutory quota for women on executive boards and supervisory boards of listed companies is to be abolished.,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,changed,50.0%,50.0%,0.0%
18,Organic farming should be promoted more than conventional farming.,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,changed,50.0%,50.0%,0.0%
19,The federal government should increase its support for projects against right-wing extremism.,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,changed,50.0%,30.0%,20.0%
20,Companies should continue to be required to monitor compliance with human rights and environmental protection among all suppliers.,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,changed,90.0%,0.0%,10.0%
21,The BAföG training grant will continue to be paid depending on the parents’ inco,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,changed,50.0%,30.0%,20.0%
22,The debt brake in the Basic Law should be retained.,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,changed,60.0%,30.0%,10.0%
23,Asylum seekers in Germany should receive a work permit immediately after submitting their application.,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,changed,50.0%,50.0%,0.0%
24,Germany should abandon the goal of becoming climate neutral.,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,changed,60.0%,30.0%,10.0%
25,"In Germany, the 35-hour week is to be established as the statutory standard working time for all employees.",Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,changed,60.0%,30.0%,10.0%
26,Abortions in the first three months of pregnancy should continue to be legal only after counseling.,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,changed,60.0%,30.0%,10.0%
27,The euro is to be replaced by a national currency in Germany.,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,changed,70.0%,30.0%,0.0%
28,"When expanding transport infrastructure, rail should have priority over road.",Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Disagree,changed,40.0%,50.0%,10.0%
29,Voluntary work should be credited towards future pensions.,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,changed,70.0%,30.0%,0.0%
30,The property tax should continue to be passed on to tenants.,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,changed,40.0%,60.0%,0.0%
31,The right to strike for employees in critical infrastructure companies is to be restricted by law.,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Agree,changed,70.0%,20.0%,10.0%
32,"In Germany, referendums should be possible at the federal level.",Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,changed,60.0%,30.0%,10.0%
33,Children under the age of 14 should be able to be prosecuted.,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,changed,30.0%,70.0%,0.0%
34,Germany should campaign for the abolition of increased EU tariffs on Chinese electric cars.,Disagree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Agree,changed,50.0%,30.0%,20.0%
35,"In Germany, it should generally continue to be possible to have a second citizenship in addition to German one.",Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,changed,60.0%,30.0%,10.0%
36,A compulsory social year should be introduced for young adults.,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,changed,90.0%,0.0%,10.0%
37,New heating systems should continue to be allowed to run entirely on fossil fuels (e.g. gas or oil) in the future.,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,changed,80.0%,20.0%,0.0%
38,The statutory minimum wage is to be increased to 15 euros by 2026 at the latest.,Neutral,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,changed,60.0%,20.0%,20.0%
